,Ca,I
0,0.0,0.0
1,1.02,0.3777158813075608
2,2.0300000000000002,0.5878289728570365
3,3.04,0.6962676114546085
4,4.05,0.7623451657253081
5,5.0600000000000005,0.8067541803976515
6,6.07,0.8385976760768429
7,7.08,0.8625062026694
8,8.09,0.8810840627224195
9,9.100000000000001,0.895908327323281
10,10.110000000000001,0.9079898406395219
11,11.120000000000001,0.9180064092029729
12,12.13,0.9264295188949697
13,13.14,0.9335972864906137
14,14.15,0.9397585024968044
15,15.16,0.9451003007473908
16,16.17,0.9497661481040514
17,17.180000000000003,0.9538678747229814
18,18.190000000000005,0.9574939414571512
19,19.200000000000003,0.9607152335198337
20,20.210000000000004,0.9635892500291816
21,21.220000000000002,0.9661630649161076
22,22.230000000000004,0.9684756388458337
23,23.240000000000006,0.9705594725719267
24,24.250000000000004,0.9724418882406503
25,25.26,0.9741460420578614
26,26.270000000000003,0.9756916628747903
27,27.280000000000005,0.9770956826947951
28,28.290000000000003,0.9783727072673937
29,29.300000000000004,0.9795354031902673
30,30.310000000000002,0.9805948140071922
31,31.320000000000004,0.9815606034664512
32,32.330000000000005,0.9824412730492484
33,33.34,0.9832443231132076
34,34.35,0.9839764076305022
35,35.36000000000001,0.9846434359338564
36,36.370000000000005,0.9852506904126745
37,37.38,0.9858028900045679
38,38.39,0.9863042798464043
39,39.400000000000006,0.986758668475198
40,40.41000000000001,0.9871695113063573
41,41.42000000000001,0.9875399259542869
42,42.43000000000001,0.9878727424238705
43,43.440000000000005,0.9881705349421366
44,44.45,0.9884356472876555
45,45.46,0.9886702256053386
46,46.470000000000006,0.9888762247019646
47,47.480000000000004,0.9890554466749903
48,48.49,0.9892095430497447
49,49.50000000000001,0.989340021897223
50,50.510000000000005,0.9894483133918321
51,51.52000000000001,0.9895356818725091
52,52.53000000000001,0.9896033328163826
53,53.540000000000006,0.9896523745607685
54,54.550000000000004,0.9896838322339356
55,55.56,0.9896986610135257
56,56.57,0.9896977481579746
57,57.580000000000005,0.9896819197881992
58,58.59,0.9896519460459767
59,59.60000000000001,0.9896085456663922
60,60.61000000000001,0.9895523906827021
61,61.62,0.9894841101594076
62,62.63,0.98940429238134
63,63.63999999999999,0.9893134896816612
64,64.65,0.9892122202329682
65,65.66000000000001,0.9891009746537988
66,66.67,0.9889801993771355
67,67.68,0.9888503367168918
68,68.69,0.9887117890115873
69,69.7,0.9885649387246034
70,70.71000000000001,0.9884101475068968
71,71.72,0.988247757379201
72,72.73,0.9880780882353851
73,73.74,0.9879014480550687
74,74.75,0.9877181244928217
75,75.76,0.987528391540555
76,76.77,0.9873325106286611
77,77.78,0.9871307223409324
78,78.78999999999999,0.986923266252407
79,79.8,0.986710366158404
80,80.81,0.9864922210308827
81,81.82,0.9862690445655282
82,82.83,0.9860410276515416
83,83.84,0.9858083394910189
84,84.85000000000001,0.9855711666779825
85,85.86,0.9853296701727571
86,86.87,0.9850840079736954
87,87.88000000000001,0.9848343307030402
88,88.89,0.9845807822723083
89,89.9,0.984323500187628
90,90.91,0.9840626159249797
91,91.92,0.9837982552397421
92,92.93,0.983530538826451
93,93.94,0.9832595809749969
94,94.95,0.9829854926201866
95,95.96,0.9827083812409384
96,96.97,0.9824283461501773
97,97.98,0.9821454818015538
98,98.99,0.9818598884847843
99,100.0,0.9815716491585197
